479;Óscar Trejo;ar ARG;MF;Rayo Vallecano;37-259;1988;4;0;44;0.5;0;0;0;0;0;0;2;0;0.2;0.2;0.1;0.3;3;6;3;0.00;0.00;0.00;0.00;0.00;0.34;0.30;0.64;0.34;0.64;Matches
480;Viktor Tsyhankov;ua UKR;MF,FW;Girona;28-056;1997;12;11;862;9.6;4;2;6;4;0;0;0;0;2.1;2.1;1.5;3.6;27;19;54;0.42;0.21;0.63;0.42;0.63;0.22;0.16;0.38;0.22;0.38;Matches
481;Kareem Tunde;es ESP;FW;Levante;20-144;2005;2;1;81;0.9;0;0;0;0;0;0;0;0;0.1;0.1;0.3;0.4;0;0;7;0.00;0.00;0.00;0.00;0.00;0.08;0.31;0.40;0.08;0.40;Matches
482;Beñat Turrientes;es ESP;MF;Real Sociedad;23-344;2002;10;5;416;4.6;0;0;0;0;0;0;2;0;0.3;0.3;0.1;0.4;1;21;7;0.00;0.00;0.00;0.00;0.00;0.07;0.01;0.08;0.07;0.08;Matches
483;Christantus Uche;ng NGA;FW;Getafe;22-236;2003;3;3;270;3.0;1;1;2;1;0;0;1;0;1.4;1.4;0.4;1.8;4;4;15;0.33;0.33;0.67;0.33;0.67;0.47;0.14;0.61;0.47;0.61;Matches
484;Filip Ugrinic;ch SUI;MF;Valencia;27-005;1999;8;2;280;3.1;0;2;2;0;0;0;1;0;0.2;0.2;0.5;0.7;2;21;8;0.00;0.64;0.64;0.00;0.64;0.06;0.16;0.22;0.06;0.22;Matches
485;Victor Valdepeñas;es ESP;DF;Real Madrid;19-082;2006;1;1;77;0.9;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;1;2;12;0.00;0.00;0.00;0.00;0.00;0.00;0.02;0.02;0.00;0.02;Matches
486;Óscar Valentín;es ESP;MF;Rayo Vallecano;31-143;1994;16;12;1,055;11.7;0;0;0;0;0;0;1;0;0.3;0.3;0.4;0.7;8;57;7;0.00;0.00;0.00;0.00;0.00;0.03;0.03;0.06;0.03;0.06;Matches
487;Germán Valera;es ESP;DF,MF;Elche;23-300;2002;17;15;1,265;14.1;3;2;5;3;0;0;2;0;1.6;1.6;1.7;3.3;47;54;129;0.21;0.14;0.36;0.21;0.36;0.11;0.12;0.23;0.11;0.23;Matches
488;Martin Valjent;sk SVK;DF;Mallorca;30-030;1995;18;18;1,62;18.0;0;0;0;0;0;0;1;0;0.5;0.5;0.0;0.5;14;55;12;0.00;0.00;0.00;0.00;0.00;0.03;0.00;0.03;0.03;0.03;Matches
489;Álvaro Vallés;es ESP;GK;Betis;28-169;1997;11;11;990;11.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
490;Federico Valverde;uy URU;MF,DF;Real Madrid;27-172;1998;18;16;1,472;16.4;0;6;6;0;0;0;2;0;1.4;1.4;2.3;3.7;25;99;58;0.00;0.37;0.37;0.00;0.37;0.09;0.14;0.23;0.09;0.23;Matches
491;Vladyslav Vanat;ua UKR;FW;Girona;24-006;2002;15;15;1,085;12.1;4;0;4;3;1;1;1;0;4.2;3.4;1.1;4.5;8;10;35;0.33;0.00;0.33;0.25;0.25;0.34;0.09;0.44;0.28;0.37;Matches
492;Ruben Vargas;ch SUI;FW,MF;Sevilla;27-158;1998;12;11;863;9.6;3;4;7;2;1;1;1;0;2.0;1.2;1.4;2.7;31;32;53;0.31;0.42;0.73;0.21;0.63;0.21;0.15;0.36;0.13;0.28;Matches
493;José Luis García Vayá;es ESP;MF;Valencia;27-152;1998;16;14;1,235;13.7;1;0;1;1;0;1;1;0;1.5;0.7;1.0;1.8;4;99;11;0.07;0.00;0.07;0.07;0.07;0.11;0.08;0.18;0.05;0.13;Matches
