Rk;Player;Nation;Pos;Squad;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;Gls;Ast;G+A;G-PK;G+A-PK;xG;xAG;xG+xAG;npxG;npxG+xAG;Matches
59;Héctor Bellerín;es ESP;DF;Betis;30-298;1995;16;12;1,081;12.0;0;2;2;0;0;0;1;0;0.1;0.1;2.2;2.3;14;52;63;0.00;0.17;0.17;0.00;0.17;0.01;0.18;0.19;0.01;0.19;Matches
60;Jude Bellingham;eng ENG;MF;Real Madrid;22-196;2003;15;12;1,102;12.2;4;3;7;4;0;0;1;0;4.5;4.5;2.5;6.9;31;110;63;0.33;0.25;0.57;0.33;0.57;0.37;0.20;0.57;0.37;0.57;Matches
61;Fran Beltrán;es ESP;MF;Celta Vigo;26-342;1999;10;7;528;5.9;0;0;0;0;0;0;0;0;0.3;0.3;0.1;0.4;6;31;9;0.00;0.00;0.00;0.00;0.00;0.05;0.01;0.06;0.05;0.06;Matches
62;Lucas Beltrán;ar ARG;FW;Valencia;24-288;2001;16;8;680;7.6;1;0;1;1;0;0;0;0;1.9;1.9;1.1;3.0;13;27;42;0.13;0.00;0.13;0.13;0.13;0.25;0.15;0.40;0.25;0.40;Matches
63;Carlos Benavídez;uy URU;MF,DF;Alavés;27-287;1998;5;0;77;0.9;0;0;0;0;0;0;2;1;0.1;0.1;0.0;0.1;1;5;4;0.00;0.00;0.00;0.00;0.00;0.10;0.03;0.13;0.10;0.13;Matches
64;Iker Benito;es ESP;DF,FW;Osasuna;23-154;2002;5;1;150;1.7;1;0;1;1;0;0;1;0;0.6;0.6;0.2;0.8;8;1;11;0.60;0.00;0.60;0.60;0.60;0.36;0.12;0.48;0.36;0.48;Matches
65;Yuri Berchiche;es ESP;DF;Athletic Club;35-335;1990;16;15;1,355;15.1;0;0;0;0;0;0;2;0;0.3;0.3;1.0;1.3;22;93;35;0.00;0.00;0.00;0.00;0.00;0.02;0.07;0.08;0.02;0.08;Matches
66;Álex Berenguer;es ESP;FW,MF;Athletic Club;30-191;1995;17;15;1,228;13.6;2;2;4;2;0;0;3;0;2.7;2.7;3.6;6.3;40;44;114;0.15;0.15;0.29;0.15;0.29;0.20;0.26;0.46;0.20;0.46;Matches
67;Lucas Bergström;fi FIN;GK;Mallorca;23-128;2002;5;5;450;5.0;0;0;0;0;0;0;1;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
68;Marc Bernal;es ESP;MF;Barcelona;18-230;2007;7;1;127;1.4;0;1;1;0;0;0;1;0;0.0;0.0;0.6;0.6;1;7;3;0.00;0.71;0.71;0.00;0.71;0.01;0.41;0.43;0.01;0.43;Matches
69;Pedro Bigas;es ESP;DF;Elche;35-118;1990;15;15;1,216;13.5;0;2;2;0;0;0;2;0;0.5;0.5;0.8;1.4;15;67;12;0.00;0.15;0.15;0.00;0.15;0.04;0.06;0.10;0.04;0.10;Matches
70;Antonio Blanco;es ESP;MF;Alavés;25-172;2000;17;17;1,475;16.4;0;1;1;0;0;0;5;0;0.5;0.5;0.6;1.1;10;101;12;0.00;0.06;0.06;0.00;0.06;0.03;0.04;0.07;0.03;0.07;Matches
71;Daley Blind;nl NED;DF;Girona;35-308;1990;17;16;1,402;15.6;0;0;0;0;0;0;1;0;0.0;0.0;0.8;0.8;16;81;3;0.00;0.00;0.00;0.00;0.00;0.00;0.05;0.05;0.00;0.05;Matches
72;Adam Boayar;ma MAR;MF,FW;Elche;20-090;2005;4;0;51;0.6;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.1;2;4;5;0.00;0.00;0.00;0.00;0.00;0.03;0.06;0.09;0.03;0.09;Matches
73;Adama Boiro;es ESP;DF;Athletic Club;23-203;2002;6;4;363;4.0;0;0;0;0;0;0;1;0;0.0;0.0;0.1;0.1;9;25;13;0.00;0.00;0.00;0.00;0.00;0.00;0.03;0.03;0.00;0.03;Matches
